experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,possible_percentage_manipulators,average_runtime,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
4.0,10,3,True,5,5,50,0.01,1.0,0,5,boston,3,0.3283750753016595,100.0,0.8920419692993165,0.0,0.3283750753016595,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,1,0.12224997454045913,100.0,12.780252351760865,0.0,0.12224997454045913,78.26666666666667,51.88,36.66666666666667,0.0,36.66666666666667
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,2,0.1288240007316487,100.0,13.738437414169312,0.0,0.1288240007316487,80.4,57.52,26.288,0.0,26.288
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,3,0.13205821658384187,100.0,14.982075672149659,0.0,0.13205821658384187,79.2,57.52,17.608,0.0,17.608
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,4,0.13087684988807075,100.0,16.248480434417726,0.0,0.13087684988807075,78.8,48.68,12.037333333333333,0.0,12.037333333333333
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,5,0.13038759956148835,100.0,17.47808355331421,0.0,0.13038759956148835,68.93333333333334,34.44,7.738666666666668,0.0,7.738666666666668
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,6,0.13085151665268202,100.0,18.36733275413513,0.0,0.13085151665268202,63.06666666666667,18.92,4.229333333333333,0.0,4.229333333333333
5.0,30,7,True,5,5,50,0.01,1.0,0,5,gs,7,0.13057786154573173,100.0,18.49106463432312,0.0,0.13057786154573173,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,5,50,0.01,1.0,0,5,boston,7,0.13066654427327504,100.0,12.530216808319091,0.0,0.13066654427327504,0.0,0.0,0.0,0.0,0.0
6.0,18,5,True,5,5,50,0.01,1.0,0,5,gs,1,0.19188241728001587,100.0,3.689597749710083,0.0,0.19188241728001587,68.66666666666667,21.48,27.333333333333336,0.0,27.333333333333336
6.0,18,5,True,5,5,50,0.01,1.0,0,5,gs,2,0.20729944478068496,100.0,4.19259859085083,0.0,0.20729944478068496,81.11111111111111,26.8,11.622222222222222,0.0,11.622222222222222
6.0,18,5,True,5,5,50,0.01,1.0,0,5,gs,3,0.2055336539525594,100.0,4.712413692474366,0.0,0.2055336539525594,72.66666666666667,20.64,6.786666666666667,0.0,6.786666666666667
6.0,18,5,True,5,5,50,0.01,1.0,0,5,gs,4,0.2022365987445616,100.0,5.042957553863525,0.0,0.2022365987445616,60.222222222222214,10.84,3.586666666666667,0.0,3.586666666666667
6.0,18,5,True,5,5,50,0.01,1.0,0,5,gs,5,0.20157878727211995,100.0,5.157334594726563,0.0,0.20157878727211995,0.0,0.0,0.0,0.0,0.0
6.0,18,5,True,5,5,50,0.01,1.0,0,5,boston,5,0.20110151098830756,100.0,3.5649073696136475,0.0,0.20110151098830756,0.0,0.0,0.0,0.0,0.0
7.0,30,4,True,5,5,50,0.01,1.0,0,5,gs,1,0.21306190962639132,100.0,3.6252966022491453,0.0,0.21306190962639132,59.2,24.0,36.4,0.0,36.4
7.0,30,4,True,5,5,50,0.01,1.0,0,5,gs,2,0.23953945039729485,100.0,4.300914716720581,0.0,0.23953945039729485,79.33333333333334,35.92,11.464,0.0,11.464
7.0,30,4,True,5,5,50,0.01,1.0,0,5,gs,3,0.23655253901764373,100.0,4.872154188156128,0.0,0.23655253901764373,73.33333333333334,22.0,3.8986666666666667,0.0,3.8986666666666667
7.0,30,4,True,5,5,50,0.01,1.0,0,5,gs,4,0.23335741073110822,100.0,4.962887601852417,0.0,0.23335741073110822,0.0,0.0,0.0,0.0,0.0
7.0,30,4,True,5,5,50,0.01,1.0,0,5,boston,4,0.23390309997877282,100.0,3.4388803672790527,0.0,0.23390309997877282,0.0,0.0,0.0,0.0,0.0
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,1,0.06588625283657866,100.0,13.913901948928833,0.0,0.06588625283657866,78.2,25.16,58.2,0.0,58.2
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,2,0.08197983008039353,100.0,14.245809316635132,0.0,0.08197983008039353,71.6,33.32,42.076,0.0,42.076
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,3,0.09006119555429423,100.0,14.861028614044189,0.0,0.09006119555429423,70.0,39.72,31.292,0.0,31.292
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,4,0.09460034751459306,100.0,15.507586469650269,0.0,0.09460034751459306,76.0,41.96,22.664,0.0,22.664
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,5,0.09743970961620006,100.0,16.344885101318358,0.0,0.09743970961620006,77.4,41.0,16.052,0.0,16.052
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,6,0.09814975694761997,100.0,17.362454719543457,0.0,0.09814975694761997,74.0,37.84,11.068000000000001,0.0,11.068000000000001
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,7,0.09872016799209407,100.0,18.23579686164856,0.0,0.09872016799209407,73.0,30.12,8.256000000000002,0.0,8.256000000000002
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,8,0.09886559891515867,100.0,18.96078519821167,0.0,0.09886559891515867,65.0,20.36,5.800000000000001,0.0,5.800000000000001
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,9,0.09828721596647105,100.0,19.469982929229737,0.0,0.09828721596647105,54.00000000000001,10.8,3.58,0.0,3.58
8.0,20,10,True,5,5,50,0.01,1.0,0,7,gs,10,0.09866274608268784,100.0,19.591142692565917,0.0,0.09866274608268784,0.0,0.0,0.0,0.0,0.0
8.0,20,10,True,5,5,50,0.01,1.0,0,7,boston,10,0.0984017583365856,100.0,13.83638162612915,0.0,0.0984017583365856,0.0,0.0,0.0,0.0,0.0
9.0,15,4,True,5,5,50,0.01,1.0,0,3,gs,1,0.26020946646401205,100.0,2.455370111465454,0.0,0.26020946646401205,44.8,9.36,29.06666666666667,0.0,29.06666666666667
9.0,15,4,True,5,5,50,0.01,1.0,0,3,gs,2,0.27280882953603197,100.0,2.8551557159423826,0.0,0.27280882953603197,60.0,12.76,13.994666666666667,0.0,13.994666666666667
9.0,15,4,True,5,5,50,0.01,1.0,0,3,gs,3,0.26727381647655324,100.0,3.234448881149292,0.0,0.26727381647655324,59.46666666666667,8.92,4.693333333333333,0.0,4.693333333333333
9.0,15,4,True,5,5,50,0.01,1.0,0,3,gs,4,0.2619121735478139,100.0,3.356340036392212,0.0,0.2619121735478139,0.0,0.0,0.0,0.0,0.0
9.0,15,4,True,5,5,50,0.01,1.0,0,3,boston,4,0.2629623304542907,100.0,2.3437792682647705,0.0,0.2629623304542907,0.0,0.0,0.0,0.0,0.0
10.0,30,5,True,5,5,50,0.01,1.0,0,4,gs,1,0.16751047521191043,100.0,6.629672727584839,0.0,0.16751047521191043,70.53333333333333,37.24,35.6,0.0,35.6
10.0,30,5,True,5,5,50,0.01,1.0,0,4,gs,2,0.18297922716202678,100.0,7.5796474266052245,0.0,0.18297922716202678,72.93333333333334,46.24,17.81066666666667,0.0,17.81066666666667
10.0,30,5,True,5,5,50,0.01,1.0,0,4,gs,3,0.18514449044474102,100.0,8.592158203125,0.0,0.18514449044474102,76.4,38.12,9.496,0.0,9.496
10.0,30,5,True,5,5,50,0.01,1.0,0,4,gs,4,0.18250618233993632,100.0,9.33870059967041,0.0,0.18250618233993632,66.8,20.04,4.6160000000000005,0.0,4.6160000000000005
10.0,30,5,True,5,5,50,0.01,1.0,0,4,gs,5,0.18184693983605701,100.0,9.45584397315979,0.0,0.18184693983605701,0.0,0.0,0.0,0.0,0.0
10.0,30,5,True,5,5,50,0.01,1.0,0,4,boston,5,0.18184094688686808,100.0,6.3798001194000244,0.0,0.18184094688686808,0.0,0.0,0.0,0.0,0.0
11.0,24,5,True,5,5,50,0.01,1.0,0,3,gs,1,0.22946335617142488,100.0,4.958454580307007,0.0,0.22946335617142488,62.5,21.6,20.666666666666664,0.0,20.666666666666664
11.0,24,5,True,5,5,50,0.01,1.0,0,3,gs,2,0.23646833755054023,100.0,5.601686286926269,0.0,0.23646833755054023,65.0,26.88,11.243333333333334,0.0,11.243333333333334
11.0,24,5,True,5,5,50,0.01,1.0,0,3,gs,3,0.23586432021281298,100.0,6.229012651443481,0.0,0.23586432021281298,59.16666666666667,22.44,5.956666666666666,0.0,5.956666666666666
11.0,24,5,True,5,5,50,0.01,1.0,0,3,gs,4,0.23532678530165949,100.0,6.825587854385376,0.0,0.23532678530165949,57.16666666666667,13.72,3.24,0.0,3.24
11.0,24,5,True,5,5,50,0.01,1.0,0,3,gs,5,0.23223514616920277,100.0,6.961878519058228,0.0,0.23223514616920277,0.0,0.0,0.0,0.0,0.0
11.0,24,5,True,5,5,50,0.01,1.0,0,3,boston,5,0.23182585685774587,100.0,4.76872784614563,0.0,0.23182585685774587,0.0,0.0,0.0,0.0,0.0
12.0,18,3,True,5,5,50,0.01,1.0,0,2,gs,1,0.29318391498608765,100.0,1.1034590435028075,0.0,0.29318391498608765,67.55555555555556,15.4,24.22222222222222,0.0,24.22222222222222
12.0,18,3,True,5,5,50,0.01,1.0,0,2,gs,2,0.30046629734866775,100.0,1.3367413330078124,0.0,0.30046629734866775,72.22222222222223,13.0,4.72,0.0,4.72
12.0,18,3,True,5,5,50,0.01,1.0,0,2,gs,3,0.2921617604006502,100.0,1.4040977668762207,0.0,0.2921617604006502,0.0,0.0,0.0,0.0,0.0
12.0,18,3,True,5,5,50,0.01,1.0,0,2,boston,3,0.29124621889071745,100.0,1.000476360321045,0.0,0.29124621889071745,0.0,0.0,0.0,0.0,0.0
13.0,30,4,True,5,5,50,0.01,1.0,0,3,gs,1,0.2512837958524143,100.0,3.098291721343994,0.0,0.2512837958524143,57.06666666666667,22.64,26.933333333333334,0.0,26.933333333333334
13.0,30,4,True,5,5,50,0.01,1.0,0,3,gs,2,0.2622995328051264,100.0,3.667731943130493,0.0,0.2622995328051264,65.73333333333333,27.4,11.821333333333335,0.0,11.821333333333335
13.0,30,4,True,5,5,50,0.01,1.0,0,3,gs,3,0.2628393457248766,100.0,4.16863184928894,0.0,0.2628393457248766,67.33333333333333,20.2,3.602666666666667,0.0,3.602666666666667
13.0,30,4,True,5,5,50,0.01,1.0,0,3,gs,4,0.25801048211766586,100.0,4.261973991394043,0.0,0.25801048211766586,0.0,0.0,0.0,0.0,0.0
13.0,30,4,True,5,5,50,0.01,1.0,0,3,boston,4,0.25787783089139854,100.0,2.9320435905456543,0.0,0.25787783089139854,0.0,0.0,0.0,0.0,0.0
14.0,30,4,True,5,5,50,0.005,1.0,0,3,gs,1,0.2865815647952368,100.0,2.967633056640625,0.0,0.2865815647952368,49.33333333333333,22.6,19.333333333333336,0.0,19.333333333333336
14.0,30,4,True,5,5,50,0.005,1.0,0,3,gs,2,0.2995905709527863,100.0,3.5390006256103517,0.0,0.2995905709527863,68.26666666666667,29.92,6.504000000000001,0.0,6.504000000000001
14.0,30,4,True,5,5,50,0.005,1.0,0,3,gs,3,0.2919086294322018,100.0,4.0261985206604,0.0,0.2919086294322018,57.73333333333333,17.32,3.4240000000000004,0.0,3.4240000000000004
14.0,30,4,True,5,5,50,0.005,1.0,0,3,gs,4,0.2867925342213738,100.0,4.117929697036743,0.0,0.2867925342213738,0.0,0.0,0.0,0.0,0.0
14.0,30,4,True,5,5,50,0.005,1.0,0,3,boston,4,0.287527285755944,100.0,2.806196565628052,0.0,0.287527285755944,0.0,0.0,0.0,0.0,0.0
