experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations_ratio,algorithm,k,k_to_schools_ratio,possible_percentage_manipulators,num_manipulations,average_runtime,average_utility,utility_rating_in_experiment,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,gs,1,0.2,75.0,5.0,0.28836421966552733,0.17668787650732903,5.0,0.1267940464032216,0.1933191532086982,65.0,16.8,25.33333333333333,63.41333333333333,12.64
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,gs,2,0.4,75.0,5.0,0.3132252597808838,0.17332343943185266,6.0,0.12316254791105787,0.19004373660545093,74.0,17.56,21.68666666666667,60.53333333333334,8.737777777777778
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,gs,3,0.6,75.0,5.0,0.3485118293762207,0.1770352579848428,4.0,0.1563652589033373,0.18392525767867793,59.66666666666666,12.56,16.493333333333336,38.77333333333333,9.066666666666668
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,gs,4,0.8,75.0,5.0,0.39032435417175293,0.17734728166794198,3.0,0.17186216447504216,0.17917565406557526,48.33333333333333,7.12,9.833333333333334,23.44,5.297777777777778
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,gs,5,1.0,75.0,5.0,0.4024771785736084,0.18145963965989734,1.0,0.18450587573318233,0.18044422763546902,0.0,0.0,0.0,0.0,0.0
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,boston,5,1.0,75.0,5.0,0.27315903663635255,0.18133906116432905,2.0,0.18385766955737712,0.180499525033313,0.0,0.0,0.0,0.0,0.0
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,gs,1,0.2,100.0,4.0,0.36932188987731934,0.18249873253470444,3.0,0.0,0.18249873253470444,73.33333333333333,18.32,24.0,0.0,24.0
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,gs,2,0.4,100.0,4.0,0.40219578742980955,0.18721162393928137,1.0,0.0,0.18721162393928137,93.33333333333331,21.96,16.386666666666667,0.0,16.386666666666667
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,gs,3,0.6,100.0,4.0,0.44882246017456057,0.1838108633111534,2.0,0.0,0.1838108633111534,69.66666666666666,14.56,13.293333333333333,0.0,13.293333333333333
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,gs,4,0.8,100.0,4.0,0.5034205532073974,0.18229427793358724,4.0,0.0,0.18229427793358724,60.33333333333333,8.88,5.633333333333334,0.0,5.633333333333334
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,gs,5,1.0,100.0,4.0,0.5174714851379395,0.18130399520072324,5.0,0.0,0.18130399520072324,0.0,0.0,0.0,0.0,0.0
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,boston,5,1.0,100.0,4.0,0.35182729721069333,0.18100749357247645,6.0,0.0,0.18100749357247645,0.0,0.0,0.0,0.0,0.0
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,gs,1,0.2,100.0,5.0,0.3182482051849365,0.20528376084688868,6.0,0.0,0.20528376084688868,68.66666666666666,14.24,22.33333333333333,0.0,22.33333333333333
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,gs,2,0.4,100.0,5.0,0.3463650321960449,0.2148114005537949,1.0,0.0,0.2148114005537949,85.0,17.76,14.580000000000002,0.0,14.580000000000002
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,gs,3,0.6,100.0,5.0,0.38906907081604003,0.21066866167671416,2.0,0.0,0.21066866167671416,58.66666666666667,10.64,11.02,0.0,11.02
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,gs,4,0.8,100.0,5.0,0.4364540672302246,0.20956297048348252,5.0,0.0,0.20956297048348252,47.66666666666666,6.4,5.013333333333334,0.0,5.013333333333334
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,gs,5,1.0,100.0,5.0,0.44960144996643064,0.20998121579644505,4.0,0.0,0.20998121579644505,0.0,0.0,0.0,0.0,0.0
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,boston,5,1.0,100.0,5.0,0.30343403816223147,0.21032090040320908,3.0,0.0,0.21032090040320908,0.0,0.0,0.0,0.0,0.0
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,1,0.125,75.0,6.0,1.2647251892089844,0.10131181428293566,9.0,0.07760327626499486,0.10921466028891592,59.33333333333333,15.36,43.66666666666667,67.01333333333334,35.88444444444444
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,2,0.25,75.0,6.0,1.2977116012573242,0.11784566885656445,8.0,0.08004948155116778,0.13044439795836332,73.0,24.64,29.173333333333336,63.14666666666667,17.84888888888889
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,3,0.375,75.0,6.0,1.354917049407959,0.1209201118486184,7.0,0.09228077553399075,0.1304665572868276,74.33333333333333,24.6,23.40666666666667,53.84,13.262222222222222
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,4,0.5,75.0,6.0,1.445998010635376,0.12262560412562803,6.0,0.10391895190859855,0.12886115486463787,68.0,20.12,19.653333333333336,42.88,11.911111111111111
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,5,0.625,75.0,6.0,1.5719217872619629,0.1241711932458438,5.0,0.1172898900404515,0.12646496098097457,60.33333333333333,15.2,14.073333333333334,27.253333333333334,9.68
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,6,0.75,75.0,6.0,1.7139231586456298,0.12500216652753307,4.0,0.1221212829008902,0.12596246106974737,57.33333333333333,10.36,9.946666666666667,18.56,7.075555555555556
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,7,0.875,75.0,6.0,1.8494846248626708,0.12524013606754847,3.0,0.12469745664370771,0.1254210292088287,39.0,4.92,6.513333333333334,11.28,4.924444444444444
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,gs,8,1.0,75.0,6.0,1.8712407779693603,0.12615024606616929,1.0,0.12469854059023272,0.1266341478914815,0.0,0.0,0.0,0.0,0.0
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,boston,8,1.0,75.0,6.0,1.2507067489624024,0.12586959209506807,2.0,0.1268778498936117,0.1255335061622202,0.0,0.0,0.0,0.0,0.0
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,1,0.125,75.0,8.0,1.2671042251586915,0.09996351761163273,9.0,0.07666717650786642,0.10772896464622152,60.0,15.6,43.33333333333334,67.2,35.37777777777778
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,2,0.25,75.0,8.0,1.3006756114959717,0.11820760250140573,8.0,0.08528006166992692,0.129183449445232,74.0,25.68,28.526666666666664,60.61333333333333,17.83111111111111
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,3,0.375,75.0,8.0,1.3594459247589112,0.1213531735304989,7.0,0.09340488968754629,0.13066926814481644,73.66666666666666,24.72,23.90666666666667,53.41333333333334,14.071111111111112
