experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations_ratio,algorithm,k,k_to_schools_ratio,possible_percentage_manipulators,num_manipulations,average_runtime,average_utility,utility_rating_in_experiment,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
20.0,14,5,True,5,5,50,0.001,1.0,0,1.0,boston,5,1.0,100.0,5.0,0.3855221557617188,0.19634853957973,5.0,0.0,0.19634853957973,0.0,0.0,0.0,0.0,0.0
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,1,0.125,71.42857142857143,6.0,1.2581788730621337,0.09619861874632918,9.0,0.0729234463913631,0.10550868768831562,65.42857142857143,19.32,45.714285714285715,68.72,36.512
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,2,0.25,71.42857142857143,6.0,1.292118215560913,0.10941707743780686,8.0,0.08290167672591936,0.12002323772256186,64.57142857142858,26.96,34.42857142857143,62.36,23.256000000000004
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,3,0.375,71.42857142857143,6.0,1.3504417896270753,0.1146194011429468,7.0,0.09036268137970466,0.12432208904824367,68.57142857142858,26.6,27.2,55.28,15.968
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,4,0.5,71.42857142857143,6.0,1.446302947998047,0.11803856925443582,6.0,0.1044921827277689,0.12345712386510257,65.42857142857143,24.32,20.205714285714286,43.34,10.952
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,5,0.625,71.42857142857143,6.0,1.5659822082519532,0.11839561185024877,5.0,0.10923824662410024,0.12205855794070819,67.14285714285715,18.4,15.897142857142859,35.3,8.136000000000001
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,6,0.75,71.42857142857143,6.0,1.7007291889190674,0.11939796897708543,4.0,0.11528317949501837,0.12104388476991225,55.142857142857146,11.8,11.36,23.94,6.328
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,7,0.875,71.42857142857143,6.0,1.83042631149292,0.11993092881959005,3.0,0.11937567322716498,0.1201530310565601,35.714285714285715,5.24,6.645714285714286,12.16,4.44
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,gs,8,1.0,71.42857142857143,6.0,1.8496933460235596,0.12052211904720675,2.0,0.11955406813203323,0.12090933941327617,0.0,0.0,0.0,0.0,0.0
21.0,14,8,True,5,5,50,0.001,0.75,4,0.75,boston,8,1.0,71.42857142857143,6.0,1.2436703777313232,0.12093483090118846,1.0,0.12132621584667243,0.12077827692299486,0.0,0.0,0.0,0.0,0.0
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,1,0.125,71.42857142857143,8.0,1.1176319217681885,0.10902325778358732,9.0,0.0867889363600946,0.1179169863529844,56.0,15.64,42.0,61.2,34.32
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,2,0.25,71.42857142857143,8.0,1.1457230377197265,0.12668187992727867,8.0,0.09683039567471552,0.13862247362830393,67.14285714285715,25.84,26.571428571428573,54.92,15.232000000000001
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,3,0.375,71.42857142857143,8.0,1.200327558517456,0.13113624459222537,7.0,0.1044564967412465,0.1418081437326169,64.57142857142857,26.0,20.56,47.46,9.8
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,4,0.5,71.42857142857143,8.0,1.2819653606414796,0.13335847895348188,6.0,0.11391189647076501,0.1411371119465686,64.85714285714286,22.08,15.748571428571429,38.46,6.664000000000001
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,5,0.625,71.42857142857143,8.0,1.3956556987762452,0.13436229105215403,5.0,0.12050057124178651,0.139906978976301,65.14285714285715,16.88,12.325714285714287,29.4,5.496
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,6,0.75,71.42857142857143,8.0,1.5169733142852784,0.13599460076528103,4.0,0.13198532733550042,0.13759831013719326,46.57142857142857,9.28,8.005714285714287,14.0,5.608
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,7,0.875,71.42857142857143,8.0,1.6266332721710206,0.13608356679210046,3.0,0.135064960712066,0.13649100922411422,28.857142857142858,4.08,4.12,5.18,3.696
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,gs,8,1.0,71.42857142857143,8.0,1.6457961082458497,0.13690679178693416,2.0,0.13657960249216225,0.13703766750484292,0.0,0.0,0.0,0.0,0.0
22.0,14,8,True,5,5,50,0.001,0.75,4,1.0,boston,8,1.0,71.42857142857143,8.0,1.1045843029022218,0.1369900924545791,1.0,0.13489794198495692,0.13782695264242797,0.0,0.0,0.0,0.0,0.0
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,1,0.125,100.0,6.0,1.3693936443328858,0.0932749786022739,9.0,0.0,0.0932749786022739,60.0,16.24,49.142857142857146,0.0,49.142857142857146
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,2,0.25,100.0,6.0,1.4030787467956543,0.11429556832588686,8.0,0.0,0.11429556832588686,82.57142857142857,31.88,29.291428571428572,0.0,29.291428571428572
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,3,0.375,100.0,6.0,1.4686616039276124,0.12205818553004494,7.0,0.0,0.12205818553004494,86.28571428571428,35.56,19.257142857142856,0.0,19.257142857142856
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,4,0.5,100.0,6.0,1.5683720874786378,0.12335569968218732,2.0,0.0,0.12335569968218732,86.0,31.56,14.46857142857143,0.0,14.46857142857143
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,5,0.625,100.0,6.0,1.7019711208343506,0.1237283600736496,1.0,0.0,0.1237283600736496,89.71428571428571,25.32,10.571428571428571,0.0,10.571428571428571
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,6,0.75,100.0,6.0,1.854131546020508,0.12294452922257512,4.0,0.0,0.12294452922257512,74.0,16.0,7.908571428571429,0.0,7.908571428571429
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,7,0.875,100.0,6.0,1.9927856540679931,0.12230704797409057,6.0,0.0,0.12230704797409057,41.714285714285715,6.16,4.9314285714285715,0.0,4.9314285714285715
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,gs,8,1.0,100.0,6.0,2.0107265949249267,0.12303687219262233,3.0,0.0,0.12303687219262233,0.0,0.0,0.0,0.0,0.0
23.0,14,8,True,5,5,50,0.001,1.0,0,0.75,boston,8,1.0,100.0,6.0,1.356678056716919,0.12243189457732644,5.0,0.0,0.12243189457732644,0.0,0.0,0.0,0.0,0.0
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,1,0.125,100.0,8.0,1.195479965209961,0.11020533264051256,9.0,0.0,0.11020533264051256,59.714285714285715,15.84,41.714285714285715,0.0,41.714285714285715
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,2,0.25,100.0,8.0,1.2238855838775635,0.13005974939502732,8.0,0.0,0.13005974939502732,79.42857142857143,26.52,27.577142857142857,0.0,27.577142857142857
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,3,0.375,100.0,8.0,1.2774410915374756,0.1348539665161875,7.0,0.0,0.1348539665161875,82.85714285714286,27.92,19.702857142857145,0.0,19.702857142857145
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,4,0.5,100.0,8.0,1.364195384979248,0.1360947534815907,5.0,0.0,0.1360947534815907,81.42857142857143,25.32,15.131428571428573,0.0,15.131428571428573
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,5,0.625,100.0,8.0,1.474976053237915,0.13598373141761455,6.0,0.0,0.13598373141761455,66.28571428571428,19.04,12.022857142857145,0.0,12.022857142857145
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,6,0.75,100.0,8.0,1.6067774295806885,0.13660287504444282,4.0,0.0,0.13660287504444282,66.57142857142857,14.2,7.577142857142857,0.0,7.577142857142857
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,7,0.875,100.0,8.0,1.745791368484497,0.13676322977520464,3.0,0.0,0.13676322977520464,47.42857142857143,6.76,4.8914285714285715,0.0,4.8914285714285715
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,gs,8,1.0,100.0,8.0,1.7626288414001465,0.1368406284049321,2.0,0.0,0.1368406284049321,0.0,0.0,0.0,0.0,0.0
24.0,14,8,True,5,5,50,0.001,1.0,0,1.0,boston,8,1.0,100.0,8.0,1.1847449874877929,0.13704247382826357,1.0,0.0,0.13704247382826357,0.0,0.0,0.0,0.0,0.0
