experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
13.0,100,5,True,5,5,50,0.005,0.75,25,2,gs,4,75.0,4.209699821472168,0.21526557018033,0.2156658371990997,0.21513214784074,18.96,20.6,2.9736,3.9392,2.651733333333333
13.0,100,5,True,5,5,50,0.005,0.75,25,2,gs,5,75.0,4.282285795211792,0.2159877431418246,0.2164552044419154,0.215831922708461,0.0,0.0,0.0,0.0,0.0
13.0,100,5,True,5,5,50,0.005,0.75,25,2,boston,5,75.0,2.879944372177124,0.2164501712993387,0.2173365448918688,0.2161547134351621,0.0,0.0,0.0,0.0,0.0
14.0,100,5,True,5,5,50,0.005,0.75,25,4,gs,1,75.0,3.2480883312225344,0.2061253527784474,0.1474774936938362,0.2256746391399845,68.72,133.44,17.24,57.564800000000005,3.7984
14.0,100,5,True,5,5,50,0.005,0.75,25,4,gs,2,75.0,3.5759236431121826,0.2141795017865428,0.1778732833775398,0.2262815745895439,72.72,123.0,11.6776,41.9296,1.5936
14.0,100,5,True,5,5,50,0.005,0.75,25,4,gs,3,75.0,4.033972644805909,0.2139336628995448,0.2050244699709206,0.2169033938757529,55.8,78.72,7.8072,18.56,4.222933333333334
14.0,100,5,True,5,5,50,0.005,0.75,25,4,gs,4,75.0,4.488333292007447,0.2155665725189637,0.2159018443472218,0.2154548152428776,19.28,21.16,2.9472000000000005,4.105600000000001,2.561066666666667
14.0,100,5,True,5,5,50,0.005,0.75,25,4,gs,5,75.0,4.549221868515015,0.2160436759029194,0.2166682638599533,0.2158354799172415,0.0,0.0,0.0,0.0,0.0
14.0,100,5,True,5,5,50,0.005,0.75,25,4,boston,5,75.0,3.0560213470458986,0.2164501712993387,0.2173365448918688,0.2161547134351621,0.0,0.0,0.0,0.0,0.0
15.0,100,5,True,5,5,50,0.005,0.75,25,5,gs,1,75.0,4.122179546356201,0.2057490985023724,0.1479872546845245,0.2250030464416551,68.6,133.0,17.56,57.54560000000001,4.231466666666667
15.0,100,5,True,5,5,50,0.005,0.75,25,5,gs,2,75.0,4.563032312393188,0.2145802348310696,0.1789785437048445,0.226447465206478,72.76,123.16,11.6,41.6992,1.5669333333333335
15.0,100,5,True,5,5,50,0.005,0.75,25,5,gs,3,75.0,5.148063144683838,0.2141273831177196,0.2047138594488849,0.2172652243406646,55.36,78.44,7.8256,18.208,4.3648
15.0,100,5,True,5,5,50,0.005,0.75,25,5,gs,4,75.0,5.67320327758789,0.2153777759286817,0.2151352491302013,0.2154586181948418,18.88,20.4,2.9168000000000003,4.0,2.5557333333333334
15.0,100,5,True,5,5,50,0.005,0.75,25,5,gs,5,75.0,5.751587991714477,0.2161470155271108,0.2169838235300627,0.2158680795261268,0.0,0.0,0.0,0.0,0.0
15.0,100,5,True,5,5,50,0.005,0.75,25,5,boston,5,75.0,3.875336885452272,0.2164501712993387,0.2173365448918688,0.2161547134351621,0.0,0.0,0.0,0.0,0.0
16.0,100,5,True,5,5,50,0.005,1.0,0,2,gs,1,100.0,3.949019107818604,0.2005299690833308,0.0,0.2005299690833308,75.08,118.64,24.28,0.0,24.28
16.0,100,5,True,5,5,50,0.005,1.0,0,2,gs,2,100.0,4.28603762626648,0.2247211927845581,0.0,0.2247211927845581,91.96,135.04,6.263999999999999,0.0,6.263999999999999
16.0,100,5,True,5,5,50,0.005,1.0,0,2,gs,3,100.0,4.884196386337281,0.2180025492401488,0.0,0.2180025492401488,64.0,85.92,5.6656,0.0,5.6656
16.0,100,5,True,5,5,50,0.005,1.0,0,2,gs,4,100.0,5.5424449634552,0.2155818251392422,0.0,0.2155818251392422,20.6,22.44,2.8872000000000004,0.0,2.8872000000000004
16.0,100,5,True,5,5,50,0.005,1.0,0,2,gs,5,100.0,5.634252557754516,0.2162862580961917,0.0,0.2162862580961917,0.0,0.0,0.0,0.0,0.0
16.0,100,5,True,5,5,50,0.005,1.0,0,2,boston,5,100.0,3.7822682571411135,0.2164501712993387,0.0,0.2164501712993387,0.0,0.0,0.0,0.0,0.0
17.0,100,5,True,5,5,50,0.005,1.0,0,4,gs,1,100.0,4.5971211910247805,0.2322456238391687,0.0,0.2322456238391687,79.56,153.96,8.04,0.0,8.04
17.0,100,5,True,5,5,50,0.005,1.0,0,4,gs,2,100.0,5.066786727905273,0.2251755274238415,0.0,0.2251755274238415,92.24,159.32,6.6376,0.0,6.6376
17.0,100,5,True,5,5,50,0.005,1.0,0,4,gs,3,100.0,5.722432851791382,0.2181492317043138,0.0,0.2181492317043138,63.72,88.64,5.852,0.0,5.852
17.0,100,5,True,5,5,50,0.005,1.0,0,4,gs,4,100.0,6.313574447631836,0.2158039684766383,0.0,0.2158039684766383,20.8,22.56,2.8568,0.0,2.8568
17.0,100,5,True,5,5,50,0.005,1.0,0,4,gs,5,100.0,6.391799869537354,0.2159767227910243,0.0,0.2159767227910243,0.0,0.0,0.0,0.0,0.0
17.0,100,5,True,5,5,50,0.005,1.0,0,4,boston,5,100.0,4.325578622817993,0.2164501712993387,0.0,0.2164501712993387,0.0,0.0,0.0,0.0,0.0
18.0,100,5,True,5,5,50,0.005,1.0,0,5,gs,1,100.0,5.982801370620727,0.2303010479199562,0.0,0.2303010479199562,79.24,152.64,8.52,0.0,8.52
18.0,100,5,True,5,5,50,0.005,1.0,0,5,gs,2,100.0,6.620389804840088,0.2256704311863588,0.0,0.2256704311863588,92.52,159.48,6.303999999999999,0.0,6.303999999999999
18.0,100,5,True,5,5,50,0.005,1.0,0,5,gs,3,100.0,7.479167814254761,0.2181662049159405,0.0,0.2181662049159405,63.92,88.88,5.92,0.0,5.92
