experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,utility_rating_in_experiment,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students,k_to_schools_ratio
102.0,200,5,True,5,5,50,0.01,0.5,100,5,gs,2,50.0,8.958391904830933,5.0,0.1654215379157129,0.1359982370486931,0.1948448387827327,47.7,200.28,29.0844,56.14639999999999,2.0224,0.4
102.0,200,5,True,5,5,50,0.01,0.5,100,5,gs,3,50.0,10.06695261001587,4.0,0.1695377480345575,0.149775659788385,0.18929983628073,45.4,133.2,23.5124,45.3472,1.6776000000000002,0.6
102.0,200,5,True,5,5,50,0.01,0.5,100,5,gs,4,50.0,11.369711933135989,3.0,0.1787645375286903,0.1749634879358575,0.1825655871215232,31.46,73.28,12.478,20.4616,4.4944,0.8
102.0,200,5,True,5,5,50,0.01,0.5,100,5,gs,5,50.0,11.49044327735901,1.0,0.1835936484676412,0.1835188648634709,0.1836684320718114,0.0,0.0,0.0,0.0,0.0,1.0
102.0,200,5,True,5,5,50,0.01,0.5,100,5,boston,5,50.0,7.716538791656494,2.0,0.1834646087346277,0.1834105549663726,0.1835186625028827,0.0,0.0,0.0,0.0,0.0,1.0
103.0,200,5,True,5,5,50,0.01,0.75,50,2,gs,1,75.0,10.253437461853029,6.0,0.1316110011429118,0.0935161323285857,0.1443092907476871,61.12,180.16,51.7,73.14399999999999,44.552,0.2
103.0,200,5,True,5,5,50,0.01,0.75,50,2,gs,2,75.0,10.994173831939698,5.0,0.164159717371576,0.1430553895442586,0.1711944933140151,66.6,218.88,28.3988,51.9632,20.544,0.4
103.0,200,5,True,5,5,50,0.01,0.75,50,2,gs,3,75.0,12.341800451278688,3.0,0.1731313208615844,0.1591818637082697,0.1777811399126893,70.46,215.24,12.370400000000002,38.6336,3.616,0.6
103.0,200,5,True,5,5,50,0.01,0.75,50,2,gs,4,75.0,14.45046462059021,4.0,0.1723316345391757,0.1685664717747264,0.1735866887939921,42.22,94.88,9.599200000000002,20.376,6.0069333333333335,0.8
103.0,200,5,True,5,5,50,0.01,0.75,50,2,gs,5,75.0,14.63918773651123,2.0,0.1741175622332403,0.1737400778979222,0.174243390345013,0.0,0.0,0.0,0.0,0.0,1.0
103.0,200,5,True,5,5,50,0.01,0.75,50,2,boston,5,75.0,9.921994409561158,1.0,0.1741641954089369,0.1741408125853324,0.1741719896834717,0.0,0.0,0.0,0.0,0.0,1.0
104.0,200,5,True,5,5,50,0.01,0.75,50,4,gs,1,75.0,14.268519096374511,5.0,0.1726100395607553,0.1072912731765041,0.194382961688839,66.02,306.08,25.1,69.2112,10.396266666666666,0.2
104.0,200,5,True,5,5,50,0.01,0.75,50,4,gs,2,75.0,15.74136205673218,1.0,0.175076518398925,0.1490739893023644,0.1837440280977785,69.38,298.6,18.7992,50.1616,8.345066666666666,0.4
104.0,200,5,True,5,5,50,0.01,0.75,50,4,gs,3,75.0,17.842622632980348,4.0,0.1738922941373323,0.162085179886328,0.1778279988876671,70.18,226.6,13.0116,37.5744,4.824000000000001,0.6
104.0,200,5,True,5,5,50,0.01,0.75,50,4,gs,4,75.0,19.86769558906555,6.0,0.1724446118775043,0.1681274186405549,0.1738836762898208,41.84,93.6,9.6348,20.3696,6.056533333333333,0.8
