experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,possible_percentage_manipulators,average_runtime,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
4.0,10,3,True,5,10,100,0.02,1.0,0,5,gs,3,0.32794768387172124,100.0,16.568848061561585,0.0,0.32794768387172124,0.0,0.0,0.0,0.0,0.0
4.0,10,3,True,5,10,100,0.02,1.0,0,5,boston,3,0.328414648219515,100.0,14.442037262916564,0.0,0.328414648219515,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,1,0.11019462882058784,100.0,155.5623677301407,0.0,0.11019462882058784,71.66666666666667,49.12,40.733333333333334,0.0,40.733333333333334
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,2,0.11743484610214402,100.0,158.21272532939912,0.0,0.11743484610214402,74.53333333333335,53.72,31.991333333333333,0.0,31.991333333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,3,0.11972219196842851,100.0,161.851999669075,0.0,0.11972219196842851,66.66666666666667,41.98,27.76733333333333,0.0,27.76733333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,4,0.12350314255943613,100.0,167.80620023727417,0.0,0.12350314255943613,58.06666666666666,31.42,22.708000000000002,0.0,22.708000000000002
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,5,0.125555595195386,100.0,176.45687283039092,0.0,0.125555595195386,52.2,20.74,15.469333333333333,0.0,15.469333333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,6,0.12496976726577431,100.0,185.36884234428405,0.0,0.12496976726577431,24.466666666666665,7.34,11.132,0.0,11.132
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,7,0.1269109399408568,100.0,186.27166988372804,0.0,0.1269109399408568,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,10,100,0.02,1.0,0,5,boston,7,0.12685332144533157,100.0,154.42271835327148,0.0,0.12685332144533157,0.0,0.0,0.0,0.0,0.0
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,1,0.18060030165122373,100.0,49.23767280101776,0.0,0.18060030165122373,64.0,19.76,31.444444444444443,0.0,31.444444444444443
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,2,0.18695383673067434,100.0,50.93270028591156,0.0,0.18695383673067434,72.22222222222223,20.92,21.393333333333334,0.0,21.393333333333334
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,3,0.1875286189758921,100.0,52.86075609207153,0.0,0.1875286189758921,50.77777777777777,13.72,16.531111111111112,0.0,16.531111111111112
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,4,0.18922625611195573,100.0,55.442145671844486,0.0,0.18922625611195573,34.55555555555556,6.42,8.706666666666667,0.0,8.706666666666667
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,5,0.190314911950229,100.0,56.883044381141666,0.0,0.190314911950229,0.0,0.0,0.0,0.0,0.0
6.0,18,5,True,5,10,100,0.02,1.0,0,5,boston,5,0.19047451961060852,100.0,48.28261380672455,0.0,0.19047451961060852,0.0,0.0,0.0,0.0,0.0
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,1,0.25803695501332685,100.0,30.20434712409973,0.0,0.25803695501332685,69.73333333333333,33.56,15.733333333333334,0.0,15.733333333333334
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,2,0.25496485571518457,100.0,32.12714664459229,0.0,0.25496485571518457,69.4,32.0,10.277333333333333,0.0,10.277333333333333
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,3,0.24772226026012908,100.0,34.06500642299652,0.0,0.24772226026012908,37.266666666666666,11.76,8.29,0.0,8.29
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,4,0.24731987169736203,100.0,34.85073791027069,0.0,0.24731987169736203,0.0,0.0,0.0,0.0,0.0
7.0,30,4,True,5,10,100,0.02,1.0,0,5,boston,4,0.24735471877326595,100.0,29.47548273563385,0.0,0.24735471877326595,0.0,0.0,0.0,0.0,0.0
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,1,0.07644258993752034,100.0,172.64608840465544,0.0,0.07644258993752034,68.2,29.62,47.8,0.0,47.8
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,2,0.08184929763734569,100.0,174.11307175159453,0.0,0.08184929763734569,56.0,26.74,41.857,0.0,41.857
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,3,0.0897397588188606,100.0,176.42082300662994,0.0,0.0897397588188606,73.2,27.04,34.137,0.0,34.137
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,4,0.08941136732636483,100.0,178.7725944709778,0.0,0.08941136732636483,58.2,16.5,33.128,0.0,33.128
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,5,0.0912962195838836,100.0,181.738564453125,0.0,0.0912962195838836,26.0,7.76,30.093000000000004,0.0,30.093000000000004
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,6,0.09536087938145264,100.0,186.099176030159,0.0,0.09536087938145264,23.7,6.68,23.819000000000003,0.0,23.819000000000003
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,7,0.09855306728955576,100.0,190.89009368419647,0.0,0.09855306728955576,19.6,4.2,17.79,0.0,17.79
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,8,0.10158128458872284,100.0,197.59081719398498,0.0,0.10158128458872284,7.4,1.52,11.165,0.0,11.165
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,9,0.10322092184130373,100.0,205.9259888982773,0.0,0.10322092184130373,2.7,0.54,5.597,0.0,5.597
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,10,0.10418598974336164,100.0,207.16604461669922,0.0,0.10418598974336164,0.0,0.0,0.0,0.0,0.0
8.0,20,10,True,5,10,100,0.02,1.0,0,7,boston,10,0.10418462826904949,100.0,171.86342532157897,0.0,0.10418462826904949,0.0,0.0,0.0,0.0,0.0
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,1,0.28782940214986064,100.0,26.6786749124527,0.0,0.28782940214986064,53.06666666666667,10.16,17.066666666666666,0.0,17.066666666666666
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,2,0.28754811759659604,100.0,27.630419621467592,0.0,0.28754811759659604,29.6,6.36,13.684000000000001,0.0,13.684000000000001
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,3,0.2891704649885681,100.0,28.84236193180084,0.0,0.2891704649885681,26.0,3.96,7.865333333333333,0.0,7.865333333333333
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,4,0.2928252471465181,100.0,29.888626990318297,0.0,0.2928252471465181,0.0,0.0,0.0,0.0,0.0
9.0,15,4,True,5,10,100,0.02,1.0,0,3,boston,4,0.2924673012978712,100.0,25.763733372688293,0.0,0.2924673012978712,0.0,0.0,0.0,0.0,0.0
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,1,0.21399132205093924,100.0,59.4784819316864,0.0,0.21399132205093924,64.46666666666667,31.56,22.333333333333336,0.0,22.333333333333336
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,2,0.21366550713315458,100.0,61.39785168647766,0.0,0.21366550713315458,53.2,28.8,18.472,0.0,18.472
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,3,0.215431749736556,100.0,64.29257283687592,0.0,0.215431749736556,48.8,20.0,12.687333333333333,0.0,12.687333333333333
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,4,0.21499823722373154,100.0,68.27076100826264,0.0,0.21499823722373154,29.8,9.18,9.150666666666668,0.0,9.150666666666668
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,5,0.21740556859857083,100.0,69.29410354137421,0.0,0.21740556859857083,0.0,0.0,0.0,0.0,0.0
10.0,30,5,True,5,10,100,0.02,1.0,0,4,boston,5,0.21738515301005457,100.0,58.27390116691589,0.0,0.21738515301005457,0.0,0.0,0.0,0.0,0.0
