experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,average_utility_manipulator_students,possible_percentage_manipulators,average_runtime,average_utility_fair_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,1,0.11164966546259956,0.11164966546259956,100.0,26.442531752586365,,50.4,26.24,48.93333333333334,,48.93333333333334
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,2,0.12802564273442088,0.12802564273442088,100.0,27.149392976760865,,65.93333333333334,42.58,33.28133333333333,,33.28133333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,3,0.1372118135189525,0.1372118135189525,100.0,28.289167876243592,,67.2,47.0,20.500666666666667,,20.500666666666667
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,4,0.14093503301431282,0.14093503301431282,100.0,29.564386353492736,,70.26666666666667,44.78,12.877333333333333,,12.877333333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,5,0.14106857552517063,0.14106857552517063,100.0,30.686205863952637,,69.53333333333333,33.56,7.717333333333333,,7.717333333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,6,0.13905047220422437,0.13905047220422437,100.0,31.465426831245424,,56.0,16.8,4.570666666666667,,4.570666666666667
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,7,0.13933414124251875,0.13933414124251875,100.0,31.65585458278656,,0.0,0.0,0.0,,0.0
5.0,30,7,True,5,10,100,0.02,1.0,0,5,boston,7,0.13943774368667608,0.13943774368667608,100.0,26.250173082351683,,0.0,0.0,0.0,,0.0
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,1,0.19166297848018124,0.19166297848018124,100.0,12.946936740875245,,63.888888888888886,16.14,33.77777777777778,,33.77777777777778
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,2,0.20328179542786384,0.20328179542786384,100.0,13.617042908668518,,62.0,19.5,20.224444444444444,,20.224444444444444
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,3,0.20691579461488654,0.20691579461488654,100.0,14.391916689872742,,62.33333333333333,17.88,11.644444444444444,,11.644444444444444
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,4,0.20600944386350928,0.20600944386350928,100.0,15.024291367530823,,59.77777777777777,10.76,5.822222222222223,,5.822222222222223
6.0,18,5,True,5,10,100,0.02,1.0,0,5,gs,5,0.2029125069045643,0.2029125069045643,100.0,15.271405682563781,,0.0,0.0,0.0,,0.0
6.0,18,5,True,5,10,100,0.02,1.0,0,5,boston,5,0.20297844580259317,0.20297844580259317,100.0,12.716398458480835,,0.0,0.0,0.0,,0.0
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,1,0.24340255382038156,0.24340255382038156,100.0,6.393610963821411,,55.13333333333333,22.86,29.933333333333334,,29.933333333333334
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,2,0.26310293298976284,0.26310293298976284,100.0,6.891427645683288,,65.33333333333333,27.52,9.915333333333333,,9.915333333333333
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,3,0.2601376456956641,0.2601376456956641,100.0,7.316202936172485,,55.86666666666666,16.76,4.067333333333334,,4.067333333333334
7.0,30,4,True,5,10,100,0.02,1.0,0,5,gs,4,0.25481887932872466,0.25481887932872466,100.0,7.430158071517944,,0.0,0.0,0.0,,0.0
7.0,30,4,True,5,10,100,0.02,1.0,0,5,boston,4,0.25455865780772763,0.25455865780772763,100.0,6.211854734420776,,0.0,0.0,0.0,,0.0
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,1,0.06646558205508707,0.06646558205508707,100.0,42.24640523910522,,50.8,21.04,58.2,,58.2
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,2,0.08201606831377224,0.08201606831377224,100.0,42.775346479415894,,75.6,33.88,43.518,,43.518
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,3,0.09119019097109832,0.09119019097109832,100.0,43.50821835517883,,77.9,37.0,32.15,,32.15
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,4,0.09568834603646297,0.09568834603646297,100.0,44.47616004943848,,71.5,35.12,24.649,,24.649
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,5,0.09757511083938024,0.09757511083938024,100.0,45.70943433284759,,71.0,33.9,19.348,,19.348
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,6,0.09890494793957616,0.09890494793957616,100.0,46.9984299993515,,71.7,31.82,14.817,,14.817
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,7,0.0994605596213096,0.0994605596213096,100.0,48.23765854358673,,66.2,26.58,11.201,,11.201
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,8,0.09928284211939552,0.09928284211939552,100.0,49.383789343833925,,63.6,19.68,8.012,,8.012
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,9,0.0993809056736319,0.0993809056736319,100.0,50.2346195268631,,52.5,10.5,5.034000000000001,,5.034000000000001
8.0,20,10,True,5,10,100,0.02,1.0,0,7,gs,10,0.09995393873489275,0.09995393873489275,100.0,50.50995254993439,,0.0,0.0,0.0,,0.0
8.0,20,10,True,5,10,100,0.02,1.0,0,7,boston,10,0.09998486449111574,0.09998486449111574,100.0,42.124390602111816,,0.0,0.0,0.0,,0.0
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,1,0.21388976922581832,0.21388976922581832,100.0,7.194415740966797,,48.26666666666666,11.1,38.266666666666666,,38.266666666666666
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,2,0.2349128896479464,0.2349128896479464,100.0,7.696271586418152,,66.93333333333334,14.94,16.730666666666664,,16.730666666666664
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,3,0.2349871473226341,0.2349871473226341,100.0,8.184659128189088,,64.13333333333333,9.62,6.792000000000001,,6.792000000000001
9.0,15,4,True,5,10,100,0.02,1.0,0,3,gs,4,0.2313635260962056,0.2313635260962056,100.0,8.379588837623595,,0.0,0.0,0.0,,0.0
9.0,15,4,True,5,10,100,0.02,1.0,0,3,boston,4,0.23188289654302538,0.23188289654302538,100.0,7.009601883888244,,0.0,0.0,0.0,,0.0
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,1,0.18943586693966308,0.18943586693966308,100.0,11.750354962348938,,54.33333333333333,22.44,36.4,,36.4
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,2,0.21865964114230088,0.21865964114230088,100.0,12.44950125694275,,65.4,36.0,13.285333333333334,,13.285333333333334
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,3,0.22077249861050646,0.22077249861050646,100.0,13.211675209999084,,71.13333333333334,32.84,6.45,,6.45
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,4,0.21615627706939214,0.21615627706939214,100.0,13.782944612503051,,54.4,16.32,3.4040000000000004,,3.4040000000000004
10.0,30,5,True,5,10,100,0.02,1.0,0,4,gs,5,0.2140676450980527,0.2140676450980527,100.0,13.939065709114075,,0.0,0.0,0.0,,0.0
10.0,30,5,True,5,10,100,0.02,1.0,0,4,boston,5,0.21402164384409347,0.21402164384409347,100.0,11.566751413345337,,0.0,0.0,0.0,,0.0
